intent	text
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 성함이 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 성함은 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 성함이 뭐지?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 성함이 뭔데?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 성함이 뭐인데?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 성함 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm> 대표자 성함이 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm> 대표자 성함이 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm> 대표자 성함이 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm> 대표자 성함이 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 성함이 누구야?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 성함은 누구야?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 성함이 누구지?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 성함이 누군데?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 성함이 누구인데?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 성함 누구야?
recruit.reperNm	<corpNm>농협은행</corpNm> 대표자 성함이 누구야?
recruit.reperNm	<corpNm>농협은행</corpNm> 대표자 성함이 누구야?
recruit.reperNm	<corpNm>농협은행</corpNm> 대표자 성함이 누구야?
recruit.reperNm	<corpNm>농협은행</corpNm> 대표자 성함이 누구야?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 이름이 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 이름은 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 이름이 뭐지?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 이름이 뭔데?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 이름이 뭐인데?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 이름 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm> 대표자 이름이 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm> 대표자 이름이 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm> 대표자 이름이 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm> 대표자 이름이 뭐야?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 이름이 누구야?
recruit.reperNm	<corpNm>농협은행</corpNm>의 대표자 이름은 누구야?
